,day,values
0,1.0,
1,2.0,
2,3.0,
3,4.0,
4,5.0,
5,6.0,
6,7.0,
7,8.0,
8,9.0,
9,10.0,
10,11.0,
11,12.0,
12,13.0,
13,14.0,
14,15.0,
15,16.0,
16,17.0,
17,18.0,
18,19.0,
19,20.0,
20,21.0,
21,22.0,
22,23.0,
23,24.0,
24,25.0,
25,26.0,
26,27.0,
27,28.0,
28,29.0,
29,30.0,
30,31.0,
31,32.0,
32,33.0,
33,34.0,
34,35.0,
35,36.0,
36,37.0,
37,38.0,
38,39.0,
39,40.0,
40,41.0,
41,42.0,
42,43.0,
43,44.0,
44,45.0,
45,46.0,
46,47.0,
47,48.0,
48,49.0,
49,50.0,
50,51.0,
51,52.0,
52,53.0,
53,54.0,
54,55.0,
55,56.0,
56,57.0,
57,58.0,
58,59.0,
59,60.0,
60,61.0,
61,62.0,
62,63.0,
63,64.0,
64,65.0,
65,66.0,
66,67.0,
67,68.0,
68,69.0,
69,70.0,
70,71.0,
71,72.0,
72,73.0,
73,74.0,
74,75.0,
75,76.0,
76,77.0,
77,78.0,
78,79.0,
79,80.0,
80,81.0,
81,82.0,
82,83.0,
83,84.0,
84,85.0,
85,86.0,
86,87.0,
87,88.0,
88,89.0,
89,90.0,
90,91.0,
91,92.0,
92,93.0,
93,94.0,
94,95.0,
95,96.0,
96,97.0,
97,98.0,
98,99.0,
99,100.0,
100,101.0,
101,102.0,
102,103.0,
103,104.0,
104,105.0,
105,106.0,
106,107.0,
107,108.0,
108,109.0,
109,110.0,
110,111.0,
111,112.0,
112,113.0,
113,114.0,
114,115.0,
115,116.0,
116,117.0,
117,118.0,
118,119.0,
119,120.0,
120,121.0,
121,122.0,
122,123.0,
123,124.0,
124,125.0,
125,126.0,
126,127.0,
127,128.0,
128,129.0,
129,130.0,
130,131.0,
131,132.0,
132,133.0,
133,134.0,
134,135.0,
135,136.0,
136,137.0,
137,138.0,
138,139.0,
139,140.0,
140,141.0,
141,142.0,
142,143.0,
143,144.0,
144,145.0,
145,146.0,
146,147.0,
147,148.0,
148,149.0,
149,150.0,
150,151.0,
151,152.0,
152,153.0,
153,154.0,
154,155.0,
155,156.0,
156,157.0,
157,158.0,
158,159.0,
159,160.0,
160,161.0,
161,162.0,
162,163.0,
163,164.0,
164,165.0,
165,166.0,
166,167.0,
167,168.0,
168,169.0,
169,170.0,
170,171.0,
171,172.0,
172,173.0,
173,174.0,
174,175.0,
175,176.0,
176,177.0,
177,178.0,
178,179.0,
179,180.0,
180,181.0,
181,182.0,
182,183.0,
183,184.0,
184,185.0,
185,186.0,
186,187.0,
187,188.0,
188,189.0,
189,190.0,
190,191.0,
191,192.0,
192,193.0,
193,194.0,
194,195.0,
195,196.0,
196,197.0,
197,198.0,
198,199.0,
199,200.0,
200,201.0,
201,202.0,
202,203.0,
203,204.0,
204,205.0,
205,206.0,
206,207.0,
207,208.0,
208,209.0,
209,210.0,
210,211.0,
211,212.0,
212,213.0,
213,214.0,
214,215.0,
215,216.0,
216,217.0,
217,218.0,
218,219.0,
219,220.0,
220,221.0,
221,222.0,
222,223.0,
223,224.0,
224,225.0,
225,226.0,
226,227.0,
227,228.0,
228,229.0,
229,230.0,
230,231.0,
231,232.0,
232,233.0,
233,234.0,
234,235.0,
235,236.0,
236,237.0,
237,238.0,
238,239.0,
239,240.0,
240,241.0,
241,242.0,
242,243.0,
243,244.0,
244,245.0,
245,246.0,
246,247.0,
247,248.0,
248,249.0,
249,250.0,
250,251.0,
251,252.0,
252,253.0,
253,254.0,
254,255.0,
255,256.0,
256,257.0,
257,258.0,
258,259.0,
259,260.0,
260,261.0,
261,262.0,
262,263.0,
263,264.0,
264,265.0,
265,266.0,
266,267.0,
267,268.0,
268,269.0,
269,270.0,
270,271.0,
271,272.0,
272,273.0,
273,274.0,
274,275.0,
275,276.0,
276,277.0,
277,278.0,
278,279.0,
279,280.0,
280,281.0,
281,282.0,
282,283.0,
283,284.0,
284,285.0,
285,286.0,
286,287.0,
287,288.0,
288,289.0,
289,290.0,
290,291.0,
291,292.0,
292,293.0,
293,294.0,
294,295.0,
295,296.0,
296,297.0,
297,298.0,
298,299.0,
299,300.0,
300,301.0,
301,302.0,
302,303.0,
303,304.0,
304,305.0,
305,306.0,
306,307.0,
307,308.0,
308,309.0,
309,310.0,
310,311.0,
311,312.0,
312,313.0,
313,314.0,
314,315.0,
315,316.0,
316,317.0,
317,318.0,
318,319.0,
319,320.0,
320,321.0,
321,322.0,
322,323.0,
323,324.0,
324,325.0,
325,326.0,
326,327.0,
327,328.0,
328,329.0,
329,330.0,
330,331.0,
331,332.0,
332,333.0,
333,334.0,
334,335.0,
335,336.0,
336,337.0,
337,338.0,
338,339.0,
339,340.0,
340,341.0,
341,342.0,
342,343.0,
343,344.0,
344,345.0,
345,346.0,
346,347.0,
347,348.0,
348,349.0,
349,350.0,
350,351.0,
351,352.0,
352,353.0,
353,354.0,
354,355.0,
355,356.0,
356,357.0,
357,358.0,
358,359.0,
359,360.0,
145,,1918.8299560546875
146,,1906.5899658203125
147,,1997.5899658203125
148,,2011.5999755859373
149,,2043.0
150,,2042.760009765625
151,,2168.8701171875
152,,2283.320068359375
153,,2307.679931640625
154,,2408.18994140625
155,,2375.0
156,,2393.610107421875
157,,2328.1201171875
158,,2363.489990234375
159,,2399.449951171875
160,,2410.219970703125
161,,2376.0
162,,2314.080078125
163,,2372.7099609375
164,,2474.0
165,,2286.0400390625
166,,2315.989990234375
167,,2317.800048828125
168,,2351.260009765625
169,,2367.610107421875
170,,2379.610107421875
171,,2409.0
172,,2356.949951171875
173,,2367.919921875
174,,2388.85009765625
175,,2409.780029296875
176,,2426.260009765625
177,,2449.330078125
178,,2497.93994140625
179,,2446.739990234375
180,,2436.8798828125
181,,2421.860107421875
182,,2410.389892578125
183,,2401.10009765625
184,,2442.3701171875
185,,2471.0400390625
186,,2472.409912109375
187,,2478.39990234375
188,,2460.60009765625
189,,2483.0
190,,2524.06005859375
191,,2600.860107421875
192,,2647.449951171875
193,,2557.9599609375
194,,2545.02001953125
195,,2572.679931640625
196,,2615.27001953125
197,,2640.97998046875
198,,2653.97998046875
199,,2675.010009765625
200,,2713.820068359375
201,,2764.409912109375
202,,2734.39990234375
203,,2754.580078125
204,,2692.8701171875
205,,2680.3798828125
206,,2758.820068359375
207,,2878.699951171875
208,,2890.300048828125
209,,3057.0400390625
210,,3000.1201171875
211,,3081.110107421875
212,,3182.6298828125
213,,3200.0
214,,3104.0
215,,3084.0
216,,3008.8701171875
217,,2999.89990234375
218,,2961.969970703125
219,,3196.840087890625
220,,3138.2900390625
221,,3099.909912109375
222,,2986.550048828125
223,,3008.909912109375
224,,3055.2099609375
225,,3000.330078125
226,,3033.530029296875
227,,3051.8798828125
228,,3164.679931640625
229,,3111.889892578125
230,,3138.830078125
231,,3205.030029296875
232,,3225.0
233,,3167.4599609375
234,,3148.159912109375
235,,3080.669921875
236,,3162.239990234375
237,,3161.02001953125
238,,3148.02001953125
239,,3182.409912109375
240,,3312.489990234375
241,,3260.47998046875
242,,3297.3701171875
243,,3284.719970703125
244,,3307.4599609375
245,,3346.489990234375
246,,3441.85009765625
247,,3400.0
248,,3401.800048828125
249,,3450.9599609375
250,,3499.1201171875
251,,3531.449951171875
252,,3368.0
253,,3294.6201171875
254,,3149.840087890625
255,,3268.610107421875
256,,3175.110107421875
257,,3116.219970703125
258,,3102.969970703125
259,,3156.1298828125
260,,3078.10009765625
261,,3008.72998046875
262,,2954.909912109375
263,,2960.469970703125
264,,3128.989990234375
265,,2999.860107421875
266,,3019.7900390625
267,,3095.1298828125
268,,3174.050048828125
269,,3144.8798828125
270,,3148.72998046875
271,,3221.260009765625
272,,3125.0
273,,3199.199951171875
274,,3099.9599609375
275,,3195.68994140625
276,,3190.550048828125
277,,3286.64990234375
278,,3442.929931640625
279,,3443.6298828125
280,,3363.7099609375
281,,3338.64990234375
282,,3272.7099609375
283,,3207.2099609375
284,,3217.010009765625
285,,3184.93994140625
286,,3176.39990234375
287,,3204.39990234375
288,,3207.0400390625
289,,3286.330078125
290,,3162.780029296875
291,,3211.010009765625
292,,3036.14990234375
293,,3004.47998046875
294,,3048.409912109375
295,,3241.159912109375
296,,3322.0
297,,3311.3701171875
298,,3143.739990234375
299,,3035.02001953125
300,,3137.389892578125
301,,3110.280029296875
302,,3128.81005859375
303,,3131.06005859375
304,,3135.659912109375
305,,3105.4599609375
306,,3117.02001953125
307,,3099.39990234375
308,,3098.389892578125
309,,3118.06005859375
310,,3185.070068359375
311,,3195.340087890625
312,,3168.0400390625
313,,3220.080078125
314,,3203.530029296875
315,,3186.72998046875
316,,3162.580078125
317,,3158.0
318,,3177.2900390625
319,,3104.199951171875
320,,3101.489990234375
321,,3116.419921875
322,,3156.969970703125
323,,3165.1201171875
324,,3240.9599609375
325,,3236.080078125
326,,3201.64990234375
327,,3206.179931640625
328,,3206.52001953125
329,,3185.27001953125
330,,3172.68994140625
331,,3283.9599609375
332,,3322.0
333,,3285.85009765625
334,,3256.929931640625
335,,3186.6298828125
336,,3218.510009765625
337,,3138.3798828125
338,,3162.159912109375
339,,3182.699951171875
340,,3114.2099609375
341,,3120.830078125
342,,3165.889892578125
343,,3127.469970703125
344,,3104.25
345,,3120.760009765625
346,,3263.3798828125
347,,3306.989990234375
348,,3292.22998046875
349,,3294.0
350,,3326.1298828125
351,,3232.580078125
352,,3237.6201171875
353,,3206.199951171875
354,,3342.8798828125
355,,3380.0
356,,3312.530029296875
357,,3331.0
358,,3352.14990234375
359,,3322.93994140625
360,,3305.0
361,,3286.580078125
362,,3262.1298828125
363,,3277.7099609375
364,,3268.949951171875
365,,3308.639892578125
366,,3328.22998046875
367,,3249.89990234375
368,,3180.739990234375
369,,3194.5
370,,3159.530029296875
371,,3057.159912109375
372,,3092.929931640625
373,,3146.139892578125
374,,3094.530029296875
375,,3005.0
376,,2977.570068359375
377,,3000.4599609375
378,,2951.949951171875
379,,3062.85009765625
380,,3057.639892578125
381,,3113.590087890625
382,,3089.489990234375
383,,3081.679931640625
384,,3091.860107421875
385,,3135.72998046875
386,,3027.989990234375
387,,3074.9599609375
388,,3110.8701171875
389,,3137.5
390,,3087.070068359375
391,,3046.260009765625
392,,3052.030029296875
393,,3075.72998046875
394,,3055.2900390625
395,,3094.080078125
396,,3161.0
397,,3226.72998046875
398,,3223.820068359375
399,,3279.389892578125
400,,3299.300048828125
401,,3372.199951171875
402,,3379.389892578125
403,,3400.0
404,,3333.0
405,,3379.090087890625
406,,3399.43994140625
407,,3372.010009765625
408,,3334.68994140625
409,,3362.02001953125
410,,3309.0400390625
411,,3340.8798828125
412,,3409.0
413,,3417.429931640625
414,,3458.5
415,,3471.31005859375
416,,3467.419921875
417,,3386.489990234375
418,,3311.8701171875
419,,3270.5400390625
420,,3306.3701171875
421,,3291.610107421875
422,,3190.489990234375
423,,3223.909912109375
424,,3151.93994140625
425,,3161.469970703125
426,,3222.89990234375
427,,3270.389892578125
428,,3232.280029296875
429,,3231.800048828125
430,,3247.679931640625
431,,3203.080078125
432,,3244.989990234375
433,,3259.050048828125
434,,3265.159912109375
435,,3230.110107421875
436,,3223.070068359375
437,,3218.64990234375
438,,3233.989990234375
439,,3187.010009765625
440,,3206.219970703125
441,,3198.010009765625
442,,3264.110107421875
443,,3281.14990234375
444,,3349.64990234375
445,,3346.830078125
446,,3383.8701171875
447,,3383.1298828125
448,,3415.25
449,,3489.239990234375
450,,3486.89990234375
451,,3453.9599609375
452,,3505.43994140625
453,,3503.820068359375
454,,3449.080078125
455,,3401.4599609375
456,,3443.889892578125
457,,3448.139892578125
458,,3440.159912109375
459,,3432.969970703125
460,,3510.97998046875
461,,3675.739990234375
462,,3696.580078125
463,,3731.409912109375
464,,3719.340087890625
465,,3718.550048828125
466,,3677.360107421875
467,,3681.679931640625
468,,3631.199951171875
469,,3573.6298828125
470,,3549.590087890625
471,,3573.18994140625
472,,3585.199951171875
473,,3638.030029296875
474,,3656.639892578125
475,,3699.820068359375
476,,3626.389892578125
477,,3630.320068359375
478,,3599.919921875
479,,3327.590087890625
480,,3331.47998046875
481,,3366.239990234375
482,,3354.719970703125
483,,3375.989990234375
484,,3344.93994140625
485,,3341.8701171875
486,,3320.679931640625
487,,3292.110107421875
488,,3303.5
489,,3293.969970703125
490,,3298.989990234375
491,,3241.9599609375
492,,3201.219970703125
493,,3187.75
494,,3199.949951171875
495,,3265.8701171875
496,,3305.780029296875
497,,3299.179931640625
498,,3316.0
499,,3349.6298828125
500,,3421.570068359375
501,,3470.7900390625
502,,3479.0
503,,3463.1201171875
504,,3478.050048828125
